team,conference,color,alt_color,logo
Bluefield College,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/495.png
Bluffton,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2074.png
Boise State,Mountain West,#09347A,#d8d9da,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,ACC,#88001a,#a39161,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Bowdoin,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/340.png
Bowling Green,Mid-American,#2b1000,#492000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Brevard College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2913.png
Bridgewater State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/18.png
Bridgewater (VA),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png
Brit Columbia,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2080.png
Brockport State (NY),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2781.png
Brown,,#411e09,#949300,http://a.espncdn.com/i/teamlogos/ncaa/500/225.png
Bryant,,#000000,#9f8343,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png
Bucknell,,#000060,#00316e,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png
Buena Vista,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/63.png
Buffalo,Mid-American,#041A9B,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
Buffalo State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2085.png
Butler,,#0d1361,#00a3e0,http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png
BYU,FBS Independents,#001E4C,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
California,Pac-12,#031522,#ffc423,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
California (PA),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2858.png
Cal Lutheran,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2094.png
Cal Poly,,#1E4D2B,#eed897,http://a.espncdn.com/i/teamlogos/ncaa/500/13.png
Campbell,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
Capital,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/424.png
Carleton,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2101.png
Carnegie Mellon,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2102.png
Carroll (WI),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/32.png
Carson-Newman,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2105.png
Carthage,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2106.png
Case Western Reserve,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2963.png
Castleton State College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/293.png
Catawba,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2107.png
Catholic University,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2108.png
Central,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2964.png
Central Arkansas,,#a7a9ac,#8e959a,http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png
Central Connecticut,,#1B49A2,#d1d5d8,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png
Central Methodist,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2860.png
Central Michigan,Mid-American,#6a0032,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Central Missouri State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2118.png
Central Oklahoma,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2122.png
Central State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2119.png
Central Washington,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2120.png
Centre,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2121.png
Chadron State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2123.png
Chapman,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/411.png
Charleston Southern,,#2e3192,#ded090,http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png
Charleston (WV),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2128.png
Charlotte,Conference USA,#0C562D,#cfab7a,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Chattanooga,,#00386b,#dca71d,http://a.espncdn.com/i/teamlogos/ncaa/500/236.png
Cheyney,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2129.png
Chicago,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/80.png
Christopher Newport,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/3112.png
Cincinnati,American Athletic,#000000,#717073,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Claremont,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/17.png
Clarion,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2134.png
Clark Atlanta,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2805.png
Clemson,ACC,#F66733,#522d80,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Coastal Carolina,Sun Belt,#007073,#876447,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png
Coast Guard,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2557.png
Coe,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2141.png
Colby,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/33.png
Colgate,,#8B011D,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png
College of Faith,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3211.png
College of Faith - Charlotte,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3253.png
College of Idaho,,,,
College of New Jersey,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2442.png
Colorado,Pac-12,#d1c57e,#ffd200,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
